Order_Number,Sales_Date,Sales_Channel,Currency,Sales_Team_ID,Store_ID,Product_ID,Order_Qty,Unit_Price,Unit_Cost,Sales,Costs,Profits
SO78,3/22/20,Distributor,USD,23,361,8,7,323.28,230.92,2262.98,1616.42,646.57
SO79,3/5/20,Wholesale,USD,19,331,9,7,579.85,414.18,4058.95,2899.25,1159.70
SO80,1/31/20,Wholesale,USD,14,121,8,6,303.66,216.90,1821.95,1301.39,520.56
SO81,2/5/20,In-Store,USD,22,69,35,9,497.15,355.11,4474.33,3195.95,1278.38
SO82,1/3/20,Distributor,USD,16,41,15,10,287.63,205.45,2876.28,2054.49,821.79
SO83,1/30/20,Wholesale,USD,9,12,43,7,398.28,284.48,2787.94,1991.39,796.55
SO84,3/22/20,Online,USD,7,232,33,5,336.25,240.18,1681.24,1200.88,480.35
SO85,3/27/20,Distributor,USD,23,164,12,2,558.02,398.59,1116.04,797.17,318.87
SO86,2/2/20,Distributor,USD,26,39,41,6,255.33,182.38,1531.98,1094.27,437.71
SO87,2/5/20,Distributor,USD,1,365,17,3,169.45,121.03,508.34,363.10,145.24
SO88,4/25/20,Online,USD,4,61,16,2,622.16,444.40,1244.32,888.80,355.52
SO89,1/11/20,Online,USD,20,305,33,8,526.28,375.91,4210.20,3007.29,1202.91
SO90,3/6/20,Online,USD,21,84,27,6,502.85,359.18,3017.11,2155.08,862.03
SO91,4/14/20,Online,USD,11,21,15,9,598.29,427.35,5384.59,3846.13,1538.45
SO92,2/14/20,In-Store,USD,24,341,19,4,455.67,325.48,1822.68,1301.92,520.77
SO93,1/8/20,In-Store,USD,26,342,39,6,295.89,211.35,1775.35,1268.11,507.24
SO94,1/2/20,Wholesale,USD,25,5,26,9,502.80,359.15,4525.23,3232.31,1292.92
SO95,4/5/20,In-Store,USD,21,252,24,4,292.28,208.77,1169.12,835.09,334.03
SO96,4/19/20,Online,USD,14,125,33,2,413.40,295.29,826.80,590.57,236.23
SO97,2/14/20,Online,USD,2,15,32,4,422.82,302.02,1691.28,1208.06,483.22
SO98,5/22/20,Online,USD,4,332,47,2,246.90,176.36,493.80,352.71,141.08
SO99,1/21/20,In-Store,USD,2,225,20,2,309.60,221.14,619.20,442.28,176.91
SO100,3/31/20,Online,USD,3,10,19,3,232.90,166.35,698.69,499.06,199.63
SO101,4/19/20,Online,USD,8,311,16,7,473.24,338.03,3312.71,2366.22,946.49
SO102,4/24/20,Distributor,USD,22,54,47,7,191.15,136.54,1338.08,955.77,382.31
SO103,4/8/20,Distributor,USD,4,58,42,5,315.50,225.35,1577.48,1126.77,450.71
SO104,3/6/20,In-Store,USD,22,304,1,9,323.45,231.03,2911.04,2079.31,831.73
SO105,2/24/20,Wholesale,USD,19,143,39,4,503.09,359.35,2012.36,1437.40,574.96
SO106,4/15/20,Distributor,USD,5,341,33,3,324.35,231.68,973.05,695.04,278.01
SO107,3/20/20,Distributor,USD,11,301,20,9,374.95,267.82,3374.59,2410.42,964.17
SO108,5/26/20,Online,USD,5,24,31,10,396.18,282.99,3961.84,2829.89,1131.95
SO109,3/22/20,In-Store,USD,8,98,19,6,157.80,112.71,946.81,676.29,270.52
SO110,1/12/20,Wholesale,USD,17,284,35,9,363.72,259.80,3273.52,2338.23,935.29
SO111,5/11/20,Online,USD,18,34,11,3,365.57,261.12,1096.70,783.36,313.34
SO112,4/14/20,Wholesale,USD,16,21,26,7,223.38,159.56,1563.68,1116.91,446.77
SO113,2/22/20,Distributor,USD,10,32,43,3,402.34,287.39,1207.03,862.16,344.87
SO114,5/24/20,Wholesale,USD,13,65,40,3,576.93,412.10,1730.80,1236.29,494.51
SO115,4/3/20,In-Store,USD,7,205,11,9,517.68,369.77,4659.15,3327.97,1331.19
SO116,4/2/20,In-Store,USD,5,326,39,1,523.06,373.61,523.06,373.61,149.45
SO117,2/20/20,In-Store,USD,11,60,26,5,366.48,261.77,1832.41,1308.86,523.55
SO118,5/26/20,In-Store,USD,18,182,35,7,224.25,160.18,1569.74,1121.24,448.50
SO119,5/10/20,Online,USD,3,74,16,7,576.80,412.00,4037.58,2883.98,1153.59
SO120,2/9/20,In-Store,USD,14,152,24,4,461.80,329.86,1847.19,1319.42,527.77
SO121,3/13/20,In-Store,USD,22,177,39,3,327.29,233.78,981.87,701.33,280.53
SO122,3/21/20,Distributor,USD,4,36,11,4,635.01,453.58,2540.06,1814.33,725.73
SO123,3/6/20,Distributor,USD,18,362,4,6,594.19,424.42,3565.12,2546.52,1018.61
SO124,5/25/20,Distributor,USD,8,199,37,1,292.82,209.16,292.82,209.16,83.66
SO125,2/23/20,Wholesale,USD,11,327,34,8,307.91,219.94,2463.31,1759.51,703.80
SO126,2/1/20,In-Store,USD,26,271,34,2,393.35,280.96,786.70,561.93,224.77
SO127,4/20/20,In-Store,USD,14,257,22,10,339.81,242.72,3398.12,2427.23,970.89
SO128,2/22/20,Distributor,USD,14,270,25,4,612.31,437.36,2449.23,1749.45,699.78
SO129,4/4/20,Online,USD,14,207,8,7,304.59,217.57,2132.16,1522.97,609.19
SO130,2/21/20,Online,USD,10,80,32,6,168.10,120.07,1008.59,720.42,288.17
SO131,4/27/20,In-Store,USD,14,6,45,10,343.45,245.32,3434.45,2453.18,981.27
SO132,1/21/20,Distributor,USD,13,286,3,4,238.01,170.01,952.04,680.03,272.01
SO133,4/18/20,Wholesale,USD,26,256,34,10,638.92,456.37,6389.25,4563.75,1825.50
SO134,5/22/20,Distributor,USD,3,94,34,8,153.04,109.31,1224.31,874.51,349.80
SO135,3/29/20,In-Store,USD,3,304,43,5,556.07,397.19,2780.35,1985.97,794.39
SO136,1/20/20,Wholesale,USD,17,296,9,3,225.04,160.74,675.12,482.23,192.89
SO137,4/29/20,Online,USD,1,171,28,8,431.37,308.12,3450.99,2464.99,986.00
SO138,5/9/20,Online,USD,26,236,29,7,638.33,455.95,4468.32,3191.66,1276.66
SO139,4/15/20,Online,USD,24,305,4,4,639.52,456.80,2558.07,1827.19,730.88
SO140,3/12/20,In-Store,USD,24,203,21,6,491.96,351.40,2951.79,2108.42,843.37
SO141,5/21/20,Online,USD,7,83,35,7,208.05,148.60,1456.32,1040.23,416.09
SO142,1/19/20,In-Store,USD,6,231,32,7,202.22,144.45,1415.57,1011.12,404.45
SO143,1/7/20,Distributor,USD,15,125,24,2,381.36,272.40,762.72,544.80,217.92
SO144,2/1/20,In-Store,USD,7,321,27,9,580.14,414.38,5221.23,3729.45,1491.78
SO145,4/3/20,Wholesale,USD,13,353,21,4,624.70,446.21,2498.80,1784.86,713.94
SO146,4/6/20,In-Store,USD,23,206,24,5,541.00,386.43,2705.02,1932.16,772.86
SO147,1/2/20,Online,USD,21,139,23,8,235.04,167.89,1880.34,1343.10,537.24
SO148,5/31/20,Online,USD,11,191,18,1,538.27,384.48,538.27,384.48,153.79
SO149,3/2/20,Wholesale,USD,4,1,42,7,314.01,224.30,2198.10,1570.07,628.03
SO150,1/6/20,Wholesale,USD,25,283,37,3,402.20,287.29,1206.60,861.86,344.74
SO151,4/26/20,Online,USD,17,367,3,10,482.29,344.49,4822.91,3444.93,1377.97
SO152,1/25/20,Distributor,USD,21,50,32,10,429.26,306.61,4292.56,3066.12,1226.45
SO153,5/16/20,Online,USD,9,353,9,5,371.10,265.07,1855.49,1325.35,530.14
SO154,5/5/20,In-Store,USD,12,268,22,5,164.04,117.17,820.21,585.87,234.35
SO155,5/4/20,In-Store,USD,6,320,21,6,520.73,371.95,3124.41,2231.72,892.69
SO156,5/23/20,Online,USD,1,198,27,2,463.27,330.91,926.54,661.82,264.73
SO157,5/22/20,Wholesale,USD,1,348,29,10,447.27,319.48,4472.65,3194.75,1277.90
SO158,4/30/20,Online,USD,20,154,6,1,528.16,377.25,528.16,377.25,150.90
SO159,5/16/20,In-Store,USD,13,35,45,2,280.81,200.58,561.61,401.15,160.46
SO160,1/3/20,Online,USD,3,86,46,9,254.07,181.48,2286.66,1633.33,653.33
SO161,1/10/20,Online,USD,14,7,46,8,480.04,342.89,3840.35,2743.10,1097.24
SO162,4/6/20,Online,USD,7,364,29,10,335.52,239.65,3355.17,2396.55,958.62
SO163,5/27/20,In-Store,USD,5,106,47,10,264.89,189.20,2648.86,1892.04,756.82
SO164,2/8/20,Online,USD,13,64,18,2,204.60,146.14,409.19,292.28,116.91
SO165,2/2/20,In-Store,USD,4,321,16,5,544.44,388.89,2722.21,1944.43,777.77
SO166,5/8/20,Wholesale,USD,9,236,2,8,519.66,371.19,4157.30,2969.50,1187.80
SO167,4/4/20,Distributor,USD,9,338,24,3,208.68,149.06,626.04,447.17,178.87
SO168,4/23/20,Wholesale,USD,24,285,41,8,512.78,366.27,4102.23,2930.16,1172.06
SO169,4/13/20,Wholesale,USD,5,303,2,2,328.47,234.62,656.93,469.24,187.70
SO170,5/10/20,Online,USD,11,281,34,1,169.13,120.81,169.13,120.81,48.32
SO171,3/30/20,Distributor,USD,22,322,21,2,372.87,266.34,745.74,532.67,213.07
SO172,1/11/20,In-Store,USD,20,70,19,4,302.63,216.16,1210.52,864.66,345.86
SO173,2/17/20,Distributor,USD,4,361,38,5,236.89,169.20,1184.43,846.02,338.41
SO174,3/9/20,Online,USD,9,122,35,9,230.19,164.42,2071.71,1479.79,591.92
SO175,4/4/20,Wholesale,USD,1,108,30,2,455.00,325.00,910.01,650.01,260.00
SO176,4/29/20,In-Store,USD,14,300,12,4,387.58,276.84,1550.31,1107.36,442.94
SO177,5/25/20,Wholesale,USD,3,264,12,2,616.25,440.18,1232.50,880.36,352.14
SO178,2/25/20,Distributor,USD,3,200,26,9,320.75,229.11,2886.73,2061.95,824.78
SO179,3/24/20,Online,USD,3,236,40,4,630.64,450.45,2522.54,1801.82,720.73
SO180,2/4/20,In-Store,USD,14,22,41,10,648.02,462.87,6480.22,4628.73,1851.49
SO181,1/30/20,Online,USD,14,135,31,3,604.15,431.53,1812.45,1294.60,517.84
SO182,2/2/20,In-Store,USD,17,263,37,2,178.60,127.57,357.19,255.14,102.06
SO183,4/1/20,Wholesale,USD,7,18,9,9,214.71,153.36,1932.39,1380.28,552.11
SO184,3/18/20,In-Store,USD,3,133,42,2,540.19,385.85,1080.38,771.70,308.68
SO185,2/7/20,In-Store,USD,5,64,33,2,610.73,436.24,1221.46,872.47,348.99
SO186,4/2/20,Online,USD,1,150,24,2,232.85,166.32,465.69,332.64,133.05
SO187,1/2/20,Distributor,USD,6,318,28,1,456.21,325.86,456.21,325.86,130.35
SO188,4/29/20,Wholesale,USD,17,166,15,3,231.19,165.13,693.56,495.40,198.16
SO189,2/3/20,Distributor,USD,7,187,44,5,416.48,297.48,2082.39,1487.42,594.97
SO190,3/26/20,Online,USD,25,308,25,3,296.63,211.88,889.89,635.64,254.25
SO191,4/30/20,Wholesale,USD,8,193,30,8,444.05,317.18,3552.39,2537.42,1014.97
SO192,4/26/20,Wholesale,USD,7,321,5,6,356.35,254.54,2138.11,1527.22,610.89
SO193,3/22/20,Distributor,USD,25,113,2,6,401.20,286.57,2407.21,1719.43,687.77
SO194,1/18/20,Distributor,USD,4,186,4,6,389.06,277.90,2334.36,1667.40,666.96
SO195,5/14/20,Wholesale,USD,6,216,34,3,152.20,108.71,456.60,326.14,130.46
SO196,3/14/20,Online,USD,16,273,43,2,398.81,284.86,797.62,569.73,227.89
SO197,4/7/20,Online,USD,3,287,28,5,393.33,280.95,1966.63,1404.74,561.90
SO198,2/7/20,Online,USD,10,32,32,4,179.43,128.16,717.72,512.66,205.06
SO199,3/5/20,Distributor,USD,14,33,16,5,604.10,431.50,3020.52,2157.51,863.01
SO200,2/20/20,In-Store,USD,18,282,6,3,200.32,143.09,600.96,429.26,171.70
SO201,5/25/20,Online,USD,4,137,4,7,648.40,463.14,4538.80,3242.00,1296.80
SO202,5/30/20,Distributor,USD,20,210,13,7,560.66,400.47,3924.65,2803.32,1121.33
SO203,2/24/20,Wholesale,USD,7,41,30,5,154.29,110.21,771.46,551.04,220.42
SO204,2/13/20,Distributor,USD,7,188,3,10,595.34,425.24,5953.38,4252.41,1700.97
SO205,1/14/20,Online,USD,8,349,46,3,447.85,319.90,1343.56,959.69,383.87
SO206,5/8/20,Distributor,USD,21,244,34,3,338.03,241.45,1014.08,724.34,289.74
SO207,2/7/20,In-Store,USD,18,226,13,8,414.29,295.92,3314.29,2367.35,946.94
SO208,3/10/20,Distributor,USD,10,334,28,10,162.36,115.97,1623.58,1159.70,463.88
SO209,2/12/20,Online,USD,2,98,13,6,330.02,235.73,1980.14,1414.39,565.76
SO210,3/4/20,Distributor,USD,11,152,12,7,558.07,398.62,3906.48,2790.35,1116.14
SO211,2/26/20,Wholesale,USD,10,189,23,10,279.74,199.82,2797.43,1998.16,799.27
SO212,5/7/20,Online,USD,2,14,40,5,617.48,441.06,3087.41,2205.30,882.12
SO213,1/16/20,Online,USD,24,245,12,6,438.42,313.16,2630.50,1878.93,751.57
SO214,2/12/20,Online,USD,12,39,24,10,445.84,318.46,4458.39,3184.56,1273.83
SO215,1/6/20,In-Store,USD,16,367,19,10,603.83,431.31,6038.35,4313.11,1725.24
SO216,2/20/20,Distributor,USD,10,45,8,1,309.25,220.89,309.25,220.89,88.36
SO217,3/5/20,In-Store,USD,6,11,12,3,498.22,355.87,1494.67,1067.62,427.05
SO218,1/24/20,Distributor,USD,5,153,32,8,481.33,343.81,3850.63,2750.45,1100.18
SO219,1/23/20,Online,USD,23,48,30,1,478.90,342.07,478.90,342.07,136.83
SO220,1/2/20,Wholesale,USD,17,298,26,9,363.72,259.80,3273.52,2338.23,935.29
SO221,3/31/20,Online,USD,13,360,3,6,419.08,299.34,2514.49,1796.06,718.43
SO222,2/12/20,In-Store,USD,10,286,36,6,591.18,422.27,3547.08,2533.63,1013.45
SO223,1/11/20,Distributor,USD,18,239,8,4,156.32,111.65,625.26,446.62,178.65
SO224,4/3/20,Distributor,USD,3,250,45,4,433.80,309.86,1735.20,1239.43,495.77
SO225,5/21/20,Distributor,USD,19,125,12,9,522.10,372.93,4698.89,3356.35,1342.54
SO226,1/9/20,Wholesale,USD,6,17,16,9,469.64,335.45,4226.73,3019.09,1207.64
SO227,4/10/20,In-Store,USD,20,25,14,1,584.67,417.62,584.67,417.62,167.05
SO228,2/24/20,Wholesale,USD,11,6,9,10,585.81,418.43,5858.08,4184.34,1673.74
SO229,2/28/20,In-Store,USD,8,303,43,5,389.11,277.94,1945.56,1389.68,555.87
SO230,5/19/20,Wholesale,USD,26,136,20,4,525.75,375.54,2103.00,1502.14,600.86
SO231,4/8/20,In-Store,USD,7,363,3,7,568.13,405.80,3976.88,2840.63,1136.25
SO232,5/17/20,In-Store,USD,26,297,45,9,305.32,218.09,2747.88,1962.77,785.11
SO233,3/18/20,Wholesale,USD,21,5,29,10,342.21,244.43,3422.06,2444.33,977.73
SO234,3/20/20,Online,USD,7,128,28,8,450.83,322.02,3606.61,2576.15,1030.46
SO235,1/25/20,Online,USD,10,255,40,5,563.06,402.19,2815.32,2010.94,804.38
SO236,4/8/20,In-Store,USD,25,16,46,8,634.24,453.03,5073.94,3624.24,1449.70
SO237,4/11/20,In-Store,USD,5,194,31,5,543.48,388.20,2717.39,1940.99,776.40
SO238,1/14/20,In-Store,USD,11,149,18,6,416.14,297.24,2496.84,1783.46,713.38
SO239,3/30/20,In-Store,USD,5,352,5,8,587.99,419.99,4703.88,3359.92,1343.97
SO240,2/7/20,Distributor,USD,24,70,31,9,421.14,300.81,3790.24,2707.32,1082.93
SO241,3/14/20,Distributor,USD,9,188,19,5,220.05,157.18,1100.26,785.90,314.36
SO242,1/10/20,Distributor,USD,3,163,42,2,391.88,279.91,783.75,559.82,223.93
SO243,4/8/20,In-Store,USD,20,53,25,6,262.65,187.60,1575.88,1125.63,450.25
SO244,2/24/20,Online,USD,14,363,38,10,211.80,151.29,2118.05,1512.89,605.16
SO245,3/22/20,Distributor,USD,20,113,5,1,521.35,372.39,521.35,372.39,148.96
SO246,1/2/20,Wholesale,USD,7,267,36,6,593.34,423.81,3560.02,2542.87,1017.15
SO247,4/18/20,Online,USD,10,188,15,9,475.45,339.61,4279.03,3056.45,1222.58
SO248,4/10/20,Wholesale,USD,18,167,26,5,253.10,180.79,1265.52,903.94,361.58
SO249,2/20/20,Distributor,USD,12,159,36,9,487.60,348.29,4388.42,3134.58,1253.83
SO250,4/23/20,In-Store,USD,4,11,10,5,549.40,392.43,2746.99,1962.13,784.85
SO251,3/2/20,Distributor,USD,7,301,37,8,166.07,118.62,1328.60,949.00,379.60
SO252,1/23/20,Distributor,USD,16,54,37,6,626.04,447.17,3756.22,2683.01,1073.21
SO253,3/13/20,In-Store,USD,3,282,20,10,157.61,112.58,1576.08,1125.77,450.31
SO254,4/22/20,Online,USD,22,6,26,8,300.21,214.44,2401.68,1715.48,686.19
SO255,2/28/20,Online,USD,7,46,10,7,247.39,176.71,1731.74,1236.96,494.78
SO256,4/2/20,Online,USD,15,253,24,6,502.08,358.63,3012.46,2151.76,860.70
SO257,1/26/20,Wholesale,USD,19,7,24,6,294.77,210.55,1768.60,1263.29,505.31
SO258,4/21/20,Wholesale,USD,22,326,32,10,217.15,155.11,2171.50,1551.07,620.43
SO259,3/12/20,Distributor,USD,26,325,40,5,638.58,456.13,3192.89,2280.64,912.26
SO260,3/2/20,Online,USD,12,192,34,1,530.74,379.10,530.74,379.10,151.64
SO261,5/11/20,Distributor,USD,4,152,31,8,234.33,167.38,1874.62,1339.01,535.61
SO262,4/9/20,Online,USD,24,101,4,6,447.03,319.30,2682.15,1915.82,766.33
SO263,5/24/20,Online,USD,6,102,16,6,429.52,306.80,2577.15,1840.82,736.33
SO264,3/16/20,Online,USD,22,343,18,7,342.44,244.60,2397.05,1712.18,684.87
SO265,2/8/20,Wholesale,USD,1,240,27,2,364.92,260.65,729.83,521.31,208.52
SO266,4/23/20,In-Store,USD,7,137,45,8,481.53,343.95,3852.23,2751.59,1100.64
SO267,1/24/20,Distributor,USD,9,285,10,3,174.47,124.62,523.40,373.86,149.54
SO268,4/15/20,Online,USD,9,117,31,4,184.50,131.79,738.00,527.15,210.86
SO269,3/10/20,In-Store,USD,5,47,13,5,226.29,161.64,1131.45,808.18,323.27
SO270,5/25/20,In-Store,USD,24,124,24,7,354.94,253.53,2484.57,1774.69,709.88
SO271,2/14/20,In-Store,USD,6,359,36,8,302.88,216.34,2423.06,1730.76,692.30
SO272,1/30/20,Online,USD,3,251,23,1,177.57,126.84,177.57,126.84,50.74
SO273,3/13/20,Wholesale,USD,21,131,25,8,239.37,170.98,1914.94,1367.82,547.13
SO274,3/31/20,Distributor,USD,12,337,36,8,464.07,331.48,3712.58,2651.84,1060.74
SO275,3/20/20,Online,USD,10,253,7,4,156.63,111.88,626.51,447.51,179.00
SO276,2/17/20,Wholesale,USD,12,161,14,1,198.14,141.53,198.14,141.53,56.61
SO277,5/18/20,In-Store,USD,12,255,29,1,555.48,396.77,555.48,396.77,158.71
SO278,1/30/20,Online,USD,20,132,13,8,511.49,365.35,4091.95,2922.82,1169.13
SO279,2/15/20,Online,USD,6,89,28,4,158.33,113.09,633.32,452.37,180.95
SO280,3/20/20,Online,USD,2,140,3,7,387.40,276.71,2711.79,1936.99,774.80
SO281,5/14/20,Distributor,USD,18,106,6,7,531.90,379.93,3723.30,2659.50,1063.80
SO282,4/11/20,In-Store,USD,6,197,21,7,577.96,412.83,4045.71,2889.79,1155.92
SO283,5/20/20,Distributor,USD,15,32,8,5,598.03,427.16,2990.13,2135.81,854.32
SO284,4/21/20,Wholesale,USD,2,365,26,8,282.28,201.63,2258.24,1613.03,645.21
SO285,2/11/20,Distributor,USD,15,103,19,8,336.59,240.42,2692.72,1923.37,769.35
SO286,4/19/20,Wholesale,USD,3,124,34,5,316.13,225.80,1580.63,1129.02,451.61
SO287,2/29/20,Distributor,USD,18,222,19,2,545.06,389.33,1090.11,778.65,311.46
SO288,4/26/20,Online,USD,20,341,39,10,576.83,412.02,5768.35,4120.25,1648.10
SO289,1/23/20,Distributor,USD,23,94,35,7,173.24,123.74,1212.66,866.18,346.47
SO290,3/7/20,In-Store,USD,7,116,19,3,273.51,195.36,820.52,586.09,234.43
SO291,3/10/20,Wholesale,USD,2,73,26,8,392.20,280.15,3137.63,2241.17,896.47
SO292,1/23/20,Distributor,USD,5,293,3,10,499.78,356.98,4997.77,3569.83,1427.93
SO293,3/13/20,Online,USD,26,349,12,9,633.51,452.50,5701.55,4072.54,1629.01
